source,code,player,date,event,level,round,opponent,score,points,file,row_id,in_dump_export,ref_id,ref_level,ref_event,link,duplicate_of_other_copy
pbp_copy_2018,CH12,Jan Choinski,2015-05-31,ATPChallengerTour-FurthQualifying,Challenger qualifying,,Jonathan Eysseric,6-3 6-1,109,pbp_matches_ch_qual_archive.csv,7691689,,CH12:atp:2015/396/qs009:E678,Challenger qualifying,Furth,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-08-12,ITFTour-GermanyF12,ITF main draw,,Teri Groll,6-4 6-1,126,pbp_matches_fu_main_archive.csv,6397615,,CH12:atp:2014/232/ms026:GC03,ITF main draw,Germany F12,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-08-16,ITFTour-GermanyF12,ITF main draw,,Johannes Haerteis,7-6(5) 6-0,143,pbp_matches_fu_main_archive.csv,6416203,,CH12:atp:2014/232/ms003:HB31,ITF main draw,Germany F12,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-08-17,ITFTour-GermanyF12,ITF main draw,,Yannick Hanfmann,7-5 6-1,114,pbp_matches_fu_main_archive.csv,6420323,,CH12:atp:2014/232/ms001:H997,ITF main draw,Germany F12,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-08-23,ITFTour-BelgiumF12,ITF main draw,,Julien Cagnina,3-6 6-4 7-6(3),198,pbp_matches_fu_main_archive.csv,6447049,,CH12:atp:2014/7111/ms001:CG32,ITF main draw,Belgium F12,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-10-08,ITFTour-GermanyF15,ITF main draw,,Pavel Nejedly,7-5 6-2,123,pbp_matches_fu_main_archive.csv,6652477,,CH12:atp:2014/2139/ms018:N824,ITF main draw,Germany F15,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-10-09,ITFTour-GermanyF15,ITF main draw,,Peter Kobelt,4-6 6-2 7-6(6),224,pbp_matches_fu_main_archive.csv,6657316,,CH12:atp:2014/2139/ms009:KC51,ITF main draw,Germany F15,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-10-15,ITFTour-GermanyF16,ITF main draw,,Matthias Wunner,6-4 6-2,118,pbp_matches_fu_main_archive.csv,6686194,,CH12:atp:2014/2140/ms022:W655,ITF main draw,Germany F16,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-11-19,ITFTour-TurkeyF41,ITF main draw,,Tallon Griekspoor,6-3 6-4,113,pbp_matches_fu_main_archive.csv,6841203,,CH12:atp:2014/6676/ms021:GJ37,ITF main draw,Turkey F41,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-11-21,ITFTour-TurkeyF41,ITF main draw,,Altug Celikbilek,6-2 1-6 6-4,176,pbp_matches_fu_main_archive.csv,6850557,,CH12:atp:2014/6676/ms005:CH05,ITF main draw,Turkey F41,linked,False
pbp_copy_2018,CH12,Jan Choinski,2014-11-26,ITFTour-TurkeyF42,ITF main draw,,Tucker Vorster,6-1 6-1,75,pbp_matches_fu_main_archive.csv,6867937,,CH12:atp:2014/6677/ms000:V600,ITF main draw,Turkey F42,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-01-06,ITFTour-GermanyF1,ITF main draw,,Daniel Altmaier,7-5 7-6(3),166,pbp_matches_fu_main_archive.csv,7042964,,CH12:atp:2015/114/ms000:AE14,ITF main draw,Germany F1,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-01-08,ITFTour-GermanyF1,ITF main draw,,Uladzimir Ignatik,4-6 6-4 6-4,170,pbp_matches_fu_main_archive.csv,7051359,,CH12:atp:2015/114/ms000:I236,ITF main draw,Germany F1,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-01-14,ITFTour-GermanyF2,ITF main draw,,Pirmin Haenle,4-6 6-4 7-6(5),239,pbp_matches_fu_main_archive.csv,7077145,,CH12:atp:2015/120/ms000:H844,ITF main draw,Germany F2,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-01-28,ITFTour-TurkeyF4,ITF main draw,,Nikola Milojevic,6-2 6-0,83,pbp_matches_fu_main_archive.csv,7129859,,CH12:atp:2015/3477/ms000:MM66,ITF main draw,Turkey F4,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-02-03,ITFTour-TurkeyF5,ITF main draw,,Ruan Roelofse,7-5 7-5,151,pbp_matches_fu_main_archive.csv,7160012,,CH12:atp:2015/3625/ms000:RA24,ITF main draw,Turkey F5,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-03-02,ITFTour-FranceF4,ITF main draw,,Yannick Mertens,6-2 6-1,101,pbp_matches_fu_main_archive.csv,7282705,,CH12:atp:2015/265/ms031:MG08,ITF main draw,France F4,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-03-26,ITFTour-GreatBritainF5,ITF main draw,,Tom Farquharson,6-1 3-6 6-3,172,pbp_matches_fu_main_archive.csv,7390434,,CH12:atp:2015/522/ms007:F751,ITF main draw,Great Britain F5,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-03-27,ITFTour-GreatBritainF5,ITF main draw,,Daniel Cox,6-1 7-6(4),125,pbp_matches_fu_main_archive.csv,7394807,,CH12:atp:2015/522/ms003:CB14,ITF main draw,Great Britain F5,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-05-22,ITFTour-CzechRepublicF2,ITF main draw,,Marek Michalicka,6-4 6-7(1) 6-3,229,pbp_matches_fu_main_archive.csv,7648835,,CH12:atp:2015/829/ms005:MF78,ITF main draw,Czech Republic F3,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-05-30,ITFTour-CzechRepublicF3,ITF main draw,,Adrian Sikora,6-3 7-6(3),158,pbp_matches_fu_main_archive.csv,7683785,,CH12:atp:2015/829/ms002:SE78,ITF main draw,Czech Republic F3,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-06-25,ITFTour-BelgiumF3,ITF main draw,,Marvin Netuschil,6-4 6-4,132,pbp_matches_fu_main_archive.csv,7801555,,CH12:atp:2015/4066/ms004:N661,ITF main draw,Belgium F3,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-06-17,ITFTour-NetherlandsF1,ITF main draw,,Mick Veldheer,6-0 6-4,101,pbp_matches_fu_main_archive.csv,7764812,,CH12:atp:2015/795/ms018:VA27,ITF main draw,Netherlands F1,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-07-15,ITFTour-GermanyF7,ITF main draw,,Bjoern Petersen,6-4 6-4,139,pbp_matches_fu_main_archive.csv,7891630,,CH12:atp:2015/572/ms025:PL54,ITF main draw,Germany F7,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-07-23,ITFTour-GermanyF8,ITF main draw,,George Von Massow,6-4 6-1,98,pbp_matches_fu_main_archive.csv,7930335,,CH12:atp:2015/551/ms004:V691,ITF main draw,Germany F8,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-08-06,ITFTour-GermanyF10,ITF main draw,,Vadim Alekseenko,6-3 6-1,108,pbp_matches_fu_main_archive.csv,7992944,,CH12:atp:2015/205/ms006:A725,ITF main draw,Germany F10,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-07-25,ITFTour-GermanyF8,ITF main draw,,Maximilian Neuchrist,6-7(5) 6-4 6-3,210,pbp_matches_fu_main_archive.csv,7937338,,CH12:atp:2015/551/ms001:N663,ITF main draw,Germany F8,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-08-13,ITFTour-BelgiumF10,ITF main draw,,Goncalo Oliveira,2-6 6-2 6-2,168,pbp_matches_fu_main_archive.csv,8026943,,CH12:atp:2015/6876/ms013:O482,ITF main draw,Belgium F10,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-08-07,ITFTour-GermanyF10,ITF main draw,,Juan Lizariturry,4-6 6-4 6-0,176,pbp_matches_fu_main_archive.csv,7997227,,CH12:atp:2015/205/ms003:L996,ITF main draw,Germany F10,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-08-08,ITFTour-GermanyF10,ITF main draw,,Hugo Dellien,6-3 6-3,113,pbp_matches_fu_main_archive.csv,8002220,,CH12:atp:2015/205/ms001:DA31,ITF main draw,Germany F10,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-08-19,ITFTour-NetherlandsF5,ITF main draw,,Yannick Hanfmann,6-2 6-1,86,pbp_matches_fu_main_archive.csv,8057611,,CH12:atp:2015/1698/ms028:H997,ITF main draw,Netherlands F5,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-08-25,ITFTour-NetherlandsF6,ITF main draw,,Colin Van Beem,6-0 6-2,71,pbp_matches_fu_main_archive.csv,8086085,,CH12:atp:2015/6201/ms017:V750,ITF main draw,Netherlands F6,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-09-22,ITFTour-FranceF19,ITF main draw,,Rayane Roumane,3-6 6-1 6-0,133,pbp_matches_fu_main_archive.csv,8217224,,CH12:atp:2015/813/ms023:RH54,ITF main draw,France F19,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-09-25,ITFTour-FranceF19,ITF main draw,,Pablo Vivero Gonzalez,6-3 7-6(4),142,pbp_matches_fu_main_archive.csv,8232403,,CH12:atp:2015/813/ms005:V886,ITF main draw,France F19,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-09-26,ITFTour-FranceF19,ITF main draw,,Maxime Authom,2-6 6-4 6-4,152,pbp_matches_fu_main_archive.csv,8238398,,CH12:atp:2015/813/ms002:A789,ITF main draw,France F19,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-09-30,ITFTour-FranceF20,ITF main draw,,Till Wegner,6-4 6-2,103,pbp_matches_fu_main_archive.csv,8259062,,CH12:atp:2015/4085/ms013:WA94,ITF main draw,France F20,linked,False
