ref_id,code,player,event_name,event_type,event_date,round,opp_first,opp_last,score,level,year,sofa_status,sofa_id,sofa_ts,sofa_tournament,sofa_category,sofa_round,sofa_opponent,name_score,round_agree,place_agree,days_outside_window,first_to_serve,final_result_only,event_state,pbp_marker
CH12:atp:2014/7111/ms001:CG32,CH12,Jan Choinski,Belgium F12,FU,2014-08-18,F,Julien,Cagnina,3-6 6-4 7-6(3),ITF main draw,2014,linked,5937464,1408806000.0,"Belgium F12, Singles",ITF Men,absent,Julien Cagnina,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/7111/ms003:SS61,CH12,Jan Choinski,Belgium F12,FU,2014-08-18,SF,Omar,Salman,7-6(4) 6-1,ITF main draw,2014,linked,5930296,1408714200.0,"Belgium F12, Singles",ITF Men,absent,Omar Salman,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2014/7111/ms006:GC98,CH12,Jan Choinski,Belgium F12,FU,2014-08-18,QF,Juan Matias,Gonzalez Carrasco,7-6(5) 7-6(2),ITF main draw,2014,linked,5919044,1408631700.0,"Belgium F12, Singles",ITF Men,absent,J. Gonzalez Carrasco,1.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2014/7111/ms013:PF36,CH12,Jan Choinski,Belgium F12,FU,2014-08-18,R16,David,Perez Sanz,6-4 6-2,ITF main draw,2014,linked,5909830,1408545000.0,"Belgium F12, Singles",ITF Men,absent,David Perez Sanz,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2014/7111/ms026:TG55,CH12,Jan Choinski,Belgium F12,FU,2014-08-18,R32,Lucas,Trentin,6-1 6-2,ITF main draw,2014,linked,5899356,1408458900.0,"Belgium F12, Singles",ITF Men,absent,Lucas Trentin,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/3628/ms022:MA38,CH12,Jan Choinski,Trnava,CH,2014-09-15,R32,Jan,Mertl,1-6 0-6,Challenger main draw,2014,linked,6074362,1410854400.0,"Trnava, Slovakia",Challenger,1/16-finals (R32),Jan Mertl,3.0,0.0,1.0,0.0,absent,false,finished,False
CH12:atp:2014/4085/ms016:N670,CH12,Jan Choinski,France F20,FU,2014-09-22,R32,Hugo,Nys,3-6 7-6(5) 5-7,ITF main draw,2014,linked,6128832,1411488000.0,"France F20, Singles",ITF Men,absent,Hugo Nys,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/2136/ms014:F762,CH12,Jan Choinski,Germany F14,FU,2014-09-29,R16,Florian,Fallert,5-7 4-6,ITF main draw,2014,unobserved,,,,,,,,,,,,,,False
CH12:atp:2014/2136/ms029:HB04,CH12,Jan Choinski,Germany F14,FU,2014-09-29,R32,Christian,Hirschmueller,6-3 6-3,ITF main draw,2014,unobserved,,,,,,,,,,,,,,False
CH12:atp:2014/2139/ms009:KC51,CH12,Jan Choinski,Germany F15,FU,2014-10-06,R16,Peter,Kobelt,6-4 2-6 6-7(6),ITF main draw,2014,unobserved,,,,,,,,,,,,,,False
