3127|2026-09-21|CH|0
7085|2026-09-14|CH|2
4176|2026-08-24|FU|5
4182|2026-08-17|FU|2
8297|2026-08-10|CH|1
3169|2026-08-03|CH|2
2935|2026-07-27|CH|4
2785|2026-07-20|CH|1
2120|2026-07-13|CH|1
526|2026-07-06|CH|3
1214|2026-06-29|CH|1
4159|2026-06-22|FU|3
3085|2026-06-08|CH|3
7015|2026-05-25|CH|4
5295|2026-05-18|FU|5
4675|2026-05-11|FU|3
9192|2026-04-27|CH|2
7736|2026-04-20|CH|1
4626|2026-04-06|FU|2
2987|2026-03-30|CH|1
2955|2026-03-23|CH|3
9472|2026-03-16|CH|3
2915|2026-03-09|CH|1
2913|2026-03-02|CH|3
4530|2026-02-09|FU|4
4502|2026-02-02|FU|2
