5100|2025-11-03|250|1
352|2025-10-27|1000|1
328|2025-10-20|500|1
9410|2025-10-13|250|2
7746|2025-10-06|CH|2
5014|2025-09-29|1000|1
329|2025-09-22|500|1
4713|2025-09-15|250|1
560|2025-08-25|GS|2
6242|2025-08-18|250|1
422|2025-08-04|1000|3
421|2025-07-28|1000|2
7480|2025-07-14|250|4
540|2025-06-30|GS|1
8994|2025-06-23|250|1
311|2025-06-16|500|3
440|2025-06-09|250|1
520|2025-05-26|GS|2
2921|2025-05-05|CH|1
6965|2025-04-28|CH|2
7490|2025-04-21|CH|2
1741|2025-04-14|CH|5
717|2025-03-31|250|2
403|2025-03-17|1000|5
9167|2025-03-10|CH|1
404|2025-03-03|1000|4
807|2025-02-24|500|3
499|2025-02-10|250|1
2969|2025-02-03|CH|5
2967|2025-01-27|CH|4
580|2025-01-13|GS|1
8998|2025-01-06|250|3
339|2024-12-30|250|1
