8310|2025-11-03|CH|1
2951|2025-10-20|CH|1
2941|2025-10-13|CH|3
7746|2025-10-06|CH|3
5014|2025-09-29|1000|1
3013|2025-09-22|CH|1
4713|2025-09-15|250|2
560|2025-08-25|GS|1
6242|2025-08-18|250|1
422|2025-08-04|1000|1
315|2025-07-07|CH|2
540|2025-06-30|GS|1
8994|2025-06-23|250|4
7740|2025-06-16|CH|1
9005|2025-06-09|CH|1
4940|2025-06-02|CH|4
520|2025-05-26|GS|1
6965|2025-04-28|CH|4
7490|2025-04-21|CH|3
1741|2025-04-14|CH|4
717|2025-03-31|250|1
2991|2025-03-24|CH|1
403|2025-03-17|1000|3
9167|2025-03-10|CH|1
404|2025-03-03|1000|1
7808|2025-02-24|CH|5
7100|2025-02-17|CH|5
9635|2025-02-10|CH|4
424|2025-02-03|500|3
9154|2025-01-27|CH|2
2801|2025-01-13|CH|5
580|2025-01-13|GS|2
7393|2024-12-30|CH|2
