2825|2022-11-28|CH|1
2823|2022-11-21|CH|2
9625|2022-11-07|CH|2
7391|2022-10-31|CH|1
2807|2022-10-10|250|2
9190|2022-10-03|CH|2
7742|2022-09-26|CH|1
7913|2022-09-19|CH|2
448|2022-09-12|CH|1
784|2022-09-05|CH|2
2793|2022-08-29|CH|2
1607|2022-08-22|CH|2
9540|2022-08-08|CH|3
2120|2022-08-01|CH|1
3945|2022-07-25|CH|1
8394|2022-07-11|CH|2
1214|2022-06-27|CH|3
9514|2022-06-20|CH|2
6757|2022-06-13|CH|5
331|2022-05-23|FU|1
1541|2022-05-16|CH|2
460|2022-05-09|CH|2
9697|2022-05-02|CH|3
425|2022-04-18|500|1
9518|2022-03-28|CH|1
9817|2022-03-07|CH|6
9456|2022-02-28|CH|2
9162|2022-02-21|CH|1
9808|2022-02-14|CH|1
8135|2022-01-31|FU|5
