560|2026-08-31|GS|1
6242|2026-08-24|250|2
422|2026-08-10|1000|3
421|2026-08-03|1000|2
7480|2026-07-27|250|1
2883|2026-07-20|CH|3
315|2026-07-06|CH|5
540|2026-06-29|GS|1
8994|2026-06-22|250|4
311|2026-06-15|500|1
2873|2026-06-01|CH|5
520|2026-05-25|GS|2
2921|2026-05-04|CH|3
3083|2026-04-27|CH|5
1536|2026-04-20|1000|2
1741|2026-04-13|CH|3
717|2026-03-30|250|1
2991|2026-03-23|CH|1
403|2026-03-16|1000|4
2975|2026-03-09|CH|4
404|2026-03-02|1000|2
807|2026-02-23|500|1
499|2026-02-16|250|4
424|2026-02-09|500|1
2967|2026-02-02|CH|1
580|2026-01-19|GS|1
8998|2026-01-12|250|2
339|2026-01-05|250|1
