8262|2021-11-29|FU|1
8258|2021-11-22|FU|1
9451|2021-10-25|FU|2
8122|2021-10-18|FU|1
8120|2021-10-11|FU|2
7872|2021-10-04|FU|1
7869|2021-09-27|FU|1
7865|2021-09-20|FU|1
9615|2021-09-13|DC|1
7478|2021-09-06|FU|1
9552|2021-08-30|CH|3
7450|2021-08-09|FU|1
7445|2021-08-02|FU|4
6917|2021-07-26|FU|1
92|2021-07-12|FU|1
9546|2021-07-05|FU|1
7791|2021-06-07|CH|1
9528|2021-05-17|FU|1
6293|2021-04-26|FU|1
3638|2021-04-12|FU|2
6481|2021-04-05|FU|2
9468|2021-03-08|CH|1
9464|2021-03-01|CH|1
8144|2021-02-01|FU|1
