9198|2022-07-11|CH|2
8310|2022-11-14|CH|1
8365|2022-10-31|FU|3
8360|2022-10-24|FU|5
724|2022-10-10|FU|4
723|2022-10-03|FU|5
6048|2022-09-12|FU|5
838|2022-08-29|FU|1
6303|2022-08-22|FU|4
4159|2022-08-15|FU|1
6809|2022-08-08|CH|2
572|2022-08-01|FU|2
9554|2022-07-18|FU|1
541|2022-07-04|FU|1
6588|2022-06-20|FU|5
4066|2022-06-13|FU|5
8272|2022-05-30|FU|2
1805|2022-05-23|FU|5
1803|2022-05-16|FU|2
738|2022-05-02|FU|5
8223|2022-04-25|FU|2
8213|2022-04-18|FU|2
8200|2022-04-11|FU|1
8158|2022-03-21|FU|1
8197|2022-03-14|FU|3
8186|2022-03-07|FU|1
8178|2022-02-28|FU|2
8188|2022-02-07|FU|2
8160|2022-01-31|FU|1
8154|2022-01-24|FU|1
