4881|2024-11-11|FU|1
4472|2024-11-04|FU|5
4453|2024-10-21|FU|2
4448|2024-10-14|FU|1
4444|2024-10-07|FU|1
4438|2024-09-30|FU|4
4420|2024-09-23|FU|1
4404|2024-09-16|FU|3
4793|2024-09-02|FU|5
4392|2024-08-26|FU|2
8392|2024-08-12|CH|1
2120|2024-08-05|CH|1
9540|2024-07-29|CH|1
472|2024-07-15|CH|1
4172|2024-07-08|FU|2
2877|2024-07-01|CH|2
3463|2024-06-24|CH|1
9835|2024-06-17|CH|1
4724|2024-06-03|FU|3
7707|2024-05-06|CH|3
4646|2024-04-22|FU|2
4635|2024-04-15|FU|5
4618|2024-04-01|FU|1
4609|2024-03-25|FU|3
4598|2024-03-18|FU|1
4582|2024-03-11|FU|1
4555|2024-02-26|FU|2
4543|2024-02-19|FU|1
4534|2024-02-12|FU|1
