560|2026-08-31|GS|1
6242|2026-08-24|250|1
3103|2026-08-17|CH|2
422|2026-08-10|1000|1
2935|2026-07-27|CH|5
316|2026-07-13|250|1
526|2026-07-06|CH|5
540|2026-06-29|GS|2
741|2026-06-22|250|5
786|2026-06-15|CH|3
9003|2026-06-08|CH|2
460|2026-06-01|CH|2
520|2026-05-25|GS|2
9500|2026-05-11|CH|5
416|2026-05-04|1000|2
9697|2026-04-27|CH|2
1536|2026-04-20|1000|1
308|2026-04-13|500|1
410|2026-04-06|1000|1
4462|2026-03-30|250|1
2955|2026-03-23|CH|2
9171|2026-03-16|CH|2
2973|2026-03-02|CH|3
495|2026-02-23|500|2
451|2026-02-16|500|3
407|2026-02-09|500|1
375|2026-02-02|250|1
580|2026-01-19|GS|1
