4630|2024-12-16|PZ|0
637|2024-11-11|CH|1
363|2024-11-04|CH|1
2949|2024-10-21|CH|5
7797|2024-10-14|CH|4
2947|2024-10-07|CH|3
5014|2024-09-30|1000|2
2939|2024-09-23|CH|3
7581|2024-09-16|250|1
560|2024-08-26|GS|1
6242|2024-08-19|250|1
7316|2024-08-12|CH|1
421|2024-08-05|1000|1
418|2024-07-29|500|1
6116|2024-07-22|250|4
877|2024-07-15|CH|1
540|2024-07-01|GS|2
8994|2024-06-24|250|4
500|2024-06-17|500|1
440|2024-06-10|250|1
7297|2024-06-03|CH|1
520|2024-05-27|GS|1
2278|2024-05-13|CH|5
2921|2024-05-06|CH|3
6965|2024-04-29|CH|5
2867|2024-04-15|CH|5
6963|2024-04-08|CH|4
8375|2024-04-01|CH|1
403|2024-03-18|1000|3
9167|2024-03-11|CH|3
404|2024-03-04|1000|1
6961|2024-02-26|CH|2
7100|2024-02-19|CH|5
7808|2024-02-12|CH|3
7203|2024-02-05|CH|5
5018|2024-01-29|CH|4
7393|2024-01-15|CH|5
580|2024-01-08|GS|2
