9128|2022-11-07|CH|1
6055|2022-10-31|CH|2
7345|2022-10-24|CH|3
1768|2022-10-03|CH|1
9569|2022-09-19|250|1
560|2022-08-29|GS|5
2797|2022-08-08|CH|4
586|2022-08-01|CH|2
7542|2022-07-25|CH|1
2783|2022-07-18|CH|3
315|2022-07-11|250|2
530|2022-06-27|FU|5
9152|2022-06-06|CH|2
9188|2022-05-30|CH|3
8264|2022-05-23|FU|5
9840|2022-04-18|FU|5
3839|2022-04-11|FU|1
59|2022-04-04|CH|3
8162|2022-03-21|FU|1
8151|2022-03-14|FU|1
404|2022-03-07|1000|1
7468|2022-02-28|FU|4
8221|2022-01-31|FU|5
8209|2022-01-24|FU|5
8196|2022-01-17|FU|5
