5211|2025-12-15|FU|1
5209|2025-12-08|FU|1
2829|2025-11-24|CH|2
5194|2025-11-17|FU|3
5167|2025-10-20|FU|1
4890|2025-10-13|FU|1
5163|2025-10-06|FU|2
2889|2025-09-29|CH|1
4663|2025-08-25|FU|3
6250|2025-08-11|CH|2
4476|2025-07-28|FU|2
4987|2025-07-21|FU|2
4983|2025-07-14|FU|4
4353|2025-06-23|FU|1
4762|2025-06-16|FU|1
4738|2025-06-09|FU|2
4963|2025-05-26|FU|1
4962|2025-05-19|FU|1
7389|2025-05-12|CH|1
2927|2025-04-21|CH|1
4944|2025-03-31|FU|1
9452|2025-03-24|CH|1
2917|2025-03-17|CH|2
3406|2025-03-10|CH|1
4631|2025-01-20|FU|1
4901|2025-01-13|FU|2
