7395|2023-10-09|CH|1
6307|2023-10-02|CH|1
7389|2023-09-25|CH|2
8120|2023-09-11|FU|3
7083|2023-09-04|CH|4
7973|2023-08-28|CH|3
6242|2023-08-21|250|1
7201|2023-08-07|CH|1
9542|2023-07-31|CH|1
9544|2023-07-24|CH|1
540|2023-07-03|GS|1
7536|2023-06-12|CH|1
558|2023-06-05|CH|1
1204|2023-05-29|CH|5
520|2023-05-29|GS|2
2871|2023-05-15|CH|1
7077|2023-05-08|CH|2
1202|2023-05-01|CH|3
1210|2023-04-24|CH|2
213|2023-04-03|CH|1
8375|2023-03-27|CH|1
404|2023-03-06|1000|1
2857|2023-02-27|CH|2
7468|2023-02-20|FU|3
4290|2023-01-30|DC|1
6239|2023-01-23|CH|3
580|2023-01-16|GS|1
9623|2023-01-16|CH|2
