code,year,url,url_event,event_id,event_name,event_type,event_date,round,wl,opp_code,opp_first,opp_last,score,reason,is_bye,has_stats_atp,file,level,ref_id,ref_source,itf_confirmed,itf_key,draw,sources,in_sackmann,in_tml,in_tennis_data,in_otd,in_live_tennis_api,in_charting,in_slam_points,in_polymarket,box_sackmann,box_tml,slam_point_rows,score_states,closing_odds,market_prices,depth,depth_label,walkover,why_missing,player
CH12,2012,en/scores/match-stats/archive/2012/488/ms008,488,488,Germany F9,FU,2012-07-09,R16,L,BA79,Andre,Begemann,6-3 4-6 0-6,,False,False,CH12_2012.txt,ITF main draw,CH12:atp:2012/488/ms008:BA79,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2012,en/scores/match-stats/archive/2012/488/ms017,488,488,Germany F9,FU,2012-07-09,R32,W,U113,Laslo,Urrutia Fuentes,4-6 6-0 7-6(5),,False,False,CH12_2012.txt,ITF main draw,CH12:atp:2012/488/ms017:U113,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2012,en/scores/match-stats/archive/2012/2140/ms019,2140,2140,Germany F16,FU,2012-08-27,R32,L,V635,Francois-Arthur,Vibert,4-6 3-6,,False,False,CH12_2012.txt,ITF main draw,CH12:atp:2012/2140/ms019:V635,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2013,en/scores/match-stats/archive/2013/572/ms014,572,572,Germany F7,FU,2013-06-24,R16,L,F980,Lukas,Finzelberg,1-6 1-6,,False,False,CH12_2013.txt,ITF main draw,CH12:atp:2013/572/ms014:F980,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2013,en/scores/match-stats/archive/2013/572/ms029,572,572,Germany F7,FU,2013-06-24,R32,W,MQ41,Luca,Marquard,6-3 3-6 7-6(5),,False,False,CH12_2013.txt,ITF main draw,CH12:atp:2013/572/ms029:MQ41,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2013,en/scores/match-stats/archive/2013/551/ms030,551,551,Germany F8,FU,2013-07-01,R32,L,Y171,Denis,Yevseyev,6-7(4) 1-6,,False,False,CH12_2013.txt,ITF main draw,CH12:atp:2013/551/ms030:Y171,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2013,en/scores/match-stats/archive/2013/205/ms021,205,205,Germany F10,FU,2013-07-15,R32,L,Z198,Caio,Zampieri,3-6 4-6,,False,False,CH12_2013.txt,ITF main draw,CH12:atp:2013/205/ms021:Z198,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2013,en/scores/match-stats/archive/2013/3673/ms014,3673,3673,Germany F18,FU,2013-10-07,R16,L,MN20,Daniel,Masur,6-2 4-6 1-6,,False,False,CH12_2013.txt,ITF main draw,CH12:atp:2013/3673/ms014:MN20,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2013,en/scores/match-stats/archive/2013/3673/ms028,3673,3673,Germany F18,FU,2013-10-07,R32,W,W534,Torsten,Wietoska,4-6 6-0 6-4,,False,False,CH12_2013.txt,ITF main draw,CH12:atp:2013/3673/ms028:W534,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2013,en/scores/match-stats/archive/2013/6666/ms022,6666,6666,Germany F20,FU,2013-10-21,R32,L,DA91,Michel,Dornbusch,6-1 3-6 3-6,,False,False,CH12_2013.txt,ITF main draw,CH12:atp:2013/6666/ms022:DA91,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2014,en/scores/match-stats/archive/2014/321/qs013,321,321,Stuttgart,250,2014-07-07,Q2,L,MG54,Yann,Marti,2-6 7-6(4) 2-6,,False,True,CH12_2014.txt,Tour qualifying,CH12:atp:2014/321/qs013:MG54,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2014,en/scores/match-stats/archive/2014/321/qs026,321,321,Stuttgart,250,2014-07-07,Q1,W,E243,David,Estruch,6-3 6-3,,False,True,CH12_2014.txt,Tour qualifying,CH12:atp:2014/321/qs026:E243,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2014,en/scores/match-stats/archive/2014/551/ms031,551,551,Germany F8,FU,2014-07-14,R32,L,T911,Peter,Torebko,2-6 1-6,,False,False,CH12_2014.txt,ITF main draw,CH12:atp:2014/551/ms031:T911,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2014,en/scores/match-stats/archive/2014/488/ms022,488,488,Germany F9,FU,2014-07-21,R32,L,MM51,Kim,Moellers,6-3 4-6 1-3,RET,False,False,CH12_2014.txt,ITF main draw,CH12:atp:2014/488/ms022:MM51,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2014,en/scores/match-stats/archive/2014/205/ms006,205,205,Germany F10,FU,2014-07-28,QF,L,K760,Evgeny,Korolev,3-6 5-7,,False,False,CH12_2014.txt,ITF main draw,CH12:atp:2014/205/ms006:K760,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2014,en/scores/match-stats/archive/2014/205/ms012,205,205,Germany F10,FU,2014-07-28,R16,W,TB79,Maxime,Tchoutakian,7-5 6-4,,False,False,CH12_2014.txt,ITF main draw,CH12:atp:2014/205/ms012:TB79,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
