code,source,source_file,source_row,date,date_kind,event_name,tourney_id,tourney_level,round,opp_name,opp_id,won,score,id_matches,name_matches,second_record,has_box,stat_fields,has_minutes,svpt_w,svpt_l,has_odds,lta_match_id,score_states,chart_id,slam,has_points,market_id,has_prices,ref_id,link,gap_days,date_disagrees,opp_disagrees,elsewhere,player
W09E,sackmann,atp_matches_2026.csv,1226,2026-05-25,tournament week,Roland Garros,2026-520,G,R128,Daniil Medvedev,106421,True,6-2 1-6 6-1 1-6 6-4,True,True,False,False,0.0,True,,,,,,,,,,,W09E:atp:2026/520/ms095:MM58,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2022.csv,3154,2022-10-31,tournament week,Sydney CH,2022-2817,C,R32,Blake Ellis,134329,True,4-6 6-3 7-6(5),True,True,False,True,18.0,True,93,112,,,,,,,,,W09E:atp:2022/2817/ms026:EA27,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2022.csv,3167,2022-10-31,tournament week,Sydney CH,2022-2817,C,R16,Aleksandar Vukic,126846,True,7-6(8) 6-1,True,True,False,True,18.0,True,81,60,,,,,,,,,W09E:atp:2022/2817/ms013:V832,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,1148,2023-07-31,tournament week,Lexington CH,2023-0586,C,R32,Maxime Janvier,126125,True,4-6 6-3 6-3,True,True,False,True,18.0,True,95,91,,,,,,,,,W09E:atp:2023/586/ms028:J620,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,1576,2023-07-17,tournament week,Granby CH,2023-0877,C,R32,Vasek Pospisil,105577,True,6-7(7) 7-6(1) 6-1,True,True,False,True,18.0,True,114,104,,,,,,,,,W09E:atp:2023/877/ms027:PD07,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,2156,2023-10-02,tournament week,Tiburon CH,2023-1768,C,R32,Vasek Pospisil,105577,True,6-4 7-6(5),True,True,False,True,18.0,True,72,74,,,,,,,,,W09E:atp:2023/1768/ms023:PD07,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,2168,2023-10-02,tournament week,Tiburon CH,2023-1768,C,R16,Learner Tien,210530,True,6-2 6-4,True,True,False,True,18.0,True,46,50,,,,,,,,,W09E:atp:2023/1768/ms011:T0HA,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,2174,2023-10-02,tournament week,Tiburon CH,2023-1768,C,QF,Bernard Tomic,106071,True,6-4 6-4,True,True,False,True,18.0,True,54,53,,,,,,,,,W09E:atp:2023/1768/ms005:TA46,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,2177,2023-10-02,tournament week,Tiburon CH,2023-1768,C,SF,Tristan Schoolkate,209262,True,6-4 7-5,True,True,False,True,18.0,True,60,70,,,,,,,,,W09E:atp:2023/1768/ms002:S0N0,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,2774,2023-07-10,tournament week,Chicago CH,2023-2797,C,R32,Eliot Spizzirri,208118,True,6-2 6-2,True,True,False,True,18.0,True,56,72,,,,,,,,,W09E:atp:2023/2797/ms022:S0JA,linked,0.0,False,False,,Adam Walton
